governador,capital,gentilico,area,populacao,densidade_demografica,matriculas_fundamental,idh,receitas_realizadas,despesas_empenhadas,rendimento_mensal_per_capita,total_veiculos,estados
GLADSON DE LIMA CAMELI   ,Rio Branco   ,acriano,164173431,906876,447   ,153015,663,663288311,608441681,888,320173,AC
PAULO SURUAGY DO AMARAL DANTAS   ,Maceió   ,alagoano,27830661,3365351,11233   ,458782,631,1195043846,1046063492,777,981823,AL
CLÉCIO LUÍS VILHENA VIEIRA   ,Macapá   ,amapaense,142470762,877613,469   ,133839,708,539641714,422446409,855,224208,AP
WILSON MIRANDA LIMA   ,Manaus   ,amazonense,1559167878,4269995,223   ,702763,674,1732845943,1532489656,800,1014026,AM
JERÔNIMO RODRIGUES SOUZA   ,Salvador   ,baiano,564760429,14985284,2482   ,1946957,660,5019100324,4557016000,843,4695972,BA
ELMANO DE FREITAS DA COSTA   ,Fortaleza   ,cearense,148894447,9240580,5676   ,1161434,682,2842022247,2460835218,881,3513199,CE
IBANEIS ROCHA BARROS JÚNIOR   ,Brasília   ,brasiliense,5760784,3094325,44407   ,369128,824,2381221127,2199046468,2513,1979698,DF
JOSÉ RENATO CASAGRANDE   ,Vitória   ,capixaba ou espírito-santense,46074448,4108508,7625   ,503003,740,1968561674,1439233800,1295,2160432,ES
RONALDO RAMOS CAIADO   ,Goiânia   ,goiano,340242856,7206589,1765   ,855021,735,3788533517,2424838034,1276,4369349,GO
CARLOS ORLEANS BRANDÃO JÚNIOR   ,São Luís   ,maranhense,329651496,7153262,1981   ,1112636,639,1850326135,1762717076,635,1940475,MA
MAURO MENDES FERREIRA   ,Cuiabá   ,mato-grossense,903207047,3567234,336   ,486568,725,2395852884,1818736327,1362,2443785,MT
EDUARDO CORREA RIEDEL   ,Campo Grande   ,sul-mato-grossense ou mato-grossense-do-sul,357147995,2839188,686   ,391975,729,1639665577,1450691537,1471,1764689,MS
ROMEU ZEMA NETO   ,Belo Horizonte   ,mineiro,586513983,21411923,3341   ,2407107,731,9719982316,9839166916,1325,12503229,MG
HELDER ZAHLUTH BARBALHO   ,Belém   ,paraense,1245870700,8777124,607   ,1389983,646,2584944610,2253347005,847,2352727,PA
JOÃO AZEVEDO LINS FILHO   ,João Pessoa   ,paraibano,56467242,4059905,6670   ,540919,658,1309700532,1007470004,876,1470901,PB
CARLOS ROBERTO MASSA JUNIOR   ,Curitiba   ,paranaense,199298981,11597484,5240   ,1348296,749,6016357612,5553440297,1541,8339982,PR
RAQUEL TEIXEIRA LYRA LUCENA   ,Recife   ,pernambucano,98067877,9674793,8963   ,1249850,673,3574602897,3332048644,829,3334479,PE
RAFAEL TAJRA FONTELES   ,Teresina   ,piauiense,251755481,3289290,1240   ,459871,646,1212421562,967673632,837,1338918,PI
CLÁUDIO BOMFIM DE CASTRO E SILVA   ,Rio de Janeiro   ,fluminense,43750425,17463349,36523   ,1945408,761,7848814079,6796554870,1724,7296355,RJ
MARIA DE FATIMA BEZERRA   ,Natal   ,potiguar norte-rio-grandense rio-grandense-do-norte,52809599,3560903,5999   ,447692,684,1352755273,1133095755,1109,1444307,RN
EDUARDO FIGUEIREDO CAVALHEIRO LEITE   ,Porto Alegre   ,gaúcho ou sul-rio-grandense,281707151,11466630,3979   ,1257992,746,6639746818,6247627934,1787,7689278,RS
MARCOS JOSÉ ROCHA DOS SANTOS   ,Porto Velho   ,rondoniense ou rondoniano,237765347,1815278,658   ,244815,690,912231072,708553002,1023,1113279,RO
ANTONIO OLIVERIO GARCIA DE ALMEIDA   ,Boa Vista   ,roraimense,223644530,652713,201   ,103123,707,426631855,386509427,1046,250675,RR
JORGINHO DOS SANTOS MELLO   ,Florianópolis   ,catarinense ou barriga-verde,95730690,7338473,6529   ,900240,774,3469677282,2559510338,1718,5786199,SC
TARCISIO GOMES DE FREITAS   ,São Paulo   ,paulista,248219485,46649132,16625   ,5396803,783,23282249657,23198224369,1836,31455473,SP
FÁBIO CRUZ MITIDIERI   ,Aracaju   ,sergipano ou sergipense,21938188,2338474,9435   ,320638,665,1014504695,849492720,929,871776,SE
WANDERLEI BARBOSA CASTRO   ,Palmas   ,tocantinense,277423627,1607363,498   ,227743,699,1030509901,892945644,1028,791463,TO
